,,,,,
Dar es Salaam University College of Education (DUCE),"Ordinary Diploma in Educational Laboratory
Science Technology","Holders of Certificate of Secondary Education Examination (CSEE)
with at least four (4) passes in Non-religious subjects including two
passes in Physics, chemistry, biology, Geography and Mathematics",3,50,"Local Fee: TSH. 1,000,000/="
,,"Holders of Basic Technician Certificate in Educational laboratory and
Technology OR Advanced Certificate of Secondary Education (ACSEE)
with one principal pass and subsidiary pass in Physics, chemistry,
Biology, Agriculture, and Geography",2,50,
,,,,,
,,,,,
,,,,,
university_name,Program Name (Award),Admission Requirements,Program Duration (Yrs),Admission Capacity,Tuition Fees
Hubert Kairuki Memorial University (HK),Ordinary Diploma in Social Work,"Holders of Certificate of Secondary Education Examination (CSEE)
with At Least four (4) Passes in non-religious Subjects",3,100,"Local Fee: TSH. 1,700,000/="
,,"Holders of Basic Technician Certificate (NTA Level 4) in Social Work,
Development Planning and Community Development, Gender,
Community Health OR Advanced Certificate of Secondary Examination
(ACSEE) with at least one Principal Pass and one Subsidiary in Principal
subjects",2,100,
,,,,,
,,,,,
,,,,,
university_name,Program Name (Award),Admission Requirements,Program Duration (Yrs),Admission Capacity,Tuition Fees
Jordan University College (JUCo),Diploma in Law,"Holders of Certificate in Law OR Holders of Advanced Certificate of
Secondary Education Examination (CSEE) with one Principal Pass and
One Subsidiary in Principal subjects",2,80,"Local Fee: TSH. 1,180,000/="
Jordan University College (JUCo),Diploma in Psychology and Counseling,"Holders of Certificate of Secondary Education Examination (CSEE)
with at least four (4) passes in non-religious subjects and Technician
Certificate in Psychology and Counselling OR Advanced Certificate of
Secondary Education Examination (ACSEE) with one Principal pass and
one subsidiary in Principal subjects",2,80,"Local Fee: TSH. 1,120,000/="
Jordan University College (JUCo),Ordinary Diploma in Accountancy,"Holders of Certificate of Secondary Education Examination (CSEE)
with at least four (4) passes in non-religious subjects OR National
Vocational Award (NVA III) with a Certificate of Secondary Education
Examination(CSEE)",3,80,"Local Fee: TSH. 1,180,000/="
,,"Holders of Basic Technician Certificate (NTA level 4) in Accounts,
Banking and Finance OR Advanced Certificate in Secondary Education
Examination (ACSEE) with at least one Principal pass and one
Subsidiary in Principal subjects",2,80,
Jordan University College (JUCo),Ordinary Diploma in Business Administration,"Holders of Certificate of Secondary Education Examination (CSEE)
with at least four (4) passes in non-religious subjects OR National
Vocational Award (NVA III) with two passes in Certificate of Secondary
Education Examination(CSEE)",3,80,"Local Fee: TSH. 1,200,000/="
,,"Holders of Basic Technician Certificate (NTA level 4) in Business and
Business Administration OR Advanced Certificate in Secondary
Education Examination (ACSEE) with at least one Principal pass and
one Subsidiary in Principal subjects",2,80,
Jordan University College (JUCo),Ordinary Diploma in Business Administration and Tourism Management,"Holders of Certificate of Secondary Education Examination (CSEE)
with at least four (4) passes in non-religious subjects OR National
Vocational Award (NVA III) with a Certificate of Secondary Education
Examination(CSEE)",3,100,"Local Fee: TSH. 1,200,000/="
,,"Holders of Basic Technician Certificate (NTA level 4) in Business
Administration and Tourism Management OR Advanced Certificate in
Secondary Education Examination (ACSEE) with at least one Principal
pass and one Subsidiary in Principal subjects",2,80,
Jordan University College (JUCo),Ordinary Diploma in Community Development,"Holders of Certificate of Secondary Education Examination (CSEE)
with at least four (4) passes in non-religious subjects OR National
Vocational Award (NVA III) with a Certificate of Secondary Education
Examination(CSEE)",3,80,"Local Fee: TSH. 1,200,000/="
,,"Holders of Basic Technician Certificate (NTA level 4) in Community
Development,Business Administration,Social Protection,Social
Work,Development Planning,Community Health,Local Goverment
Administration,Youth Work OR Advanced Certificate in Secondary
Education Examination (ACSEE) with at least one Principal pass and
one Subsidiary in Principal subjects",2,80,
Jordan University College (JUCo),Ordinary Diploma in Computer Science,"Holders of Certificate of Secondary Education Examination (CSEE)
with at least four (4) passes in non-religious subjects OR National
Vocational Award (NVA) III/Trade Test II with a Certificate of
Secondary Education Examination (CSEE).",3,80,"Local Fee: TSH. 1,200,000/="
,,"Holders of Basic Technician Certificate (NTA Level 4) in Computer
Engineering OR Advanced Certificate Education Examination (ACSEE)
with one Principal pass and one Subsidiary.",2,80,
Jordan University College (JUCo),"Ordinary Diploma in Education with Religious
Studies","Holders of Certificate of Secondary Education Examination (CSEE)
with at least four (4) passes in non-religious subjects OR National
Vocational Award (NVA III) with a Certificate of Secondary Education
Examination (CSEE)",3,110,"Local Fee: TSH. 1,200,000/="
,,"Holders of Basic Technician Certificate (NTA level 4) in Education with
Religious Studies, Theology OR Advanced Certificate in Secondary
Education Examination (ACSEE) with one Principal pass and one
Subsidiary in Principal subjects",2,110,
Jordan University College (JUCo),"Ordinary Diploma in Information and
Communication Technology","Holder of Certificate of Secondary Education Examination (CSEE) with
at least four (4) passes in non religious subjects OR National Vocational Award (NVA) III/Trade Test II with a Certificate of
Secondary Education Examination (CSEE).",3,90,"Local Fee: TSH. 1,200,000/="
,,"Holders of Basic Technician Certificate (NTA Level 4) in Computer
Science, Computing Information Communication Technology, Business
Information Technology OR Holder of Advanced Certificate of
Secondary Education Examination (ACSEE) with one Principal pass and
one Subsidiary pass in Principal subjects.",2,50,
Jordan University College (JUCo),Ordinary Diploma in Law,"Holders of Certificate of Secondary Education Examination (CSEE)
with at least four (4) passes in non-religious subjects OR National
Vocational Award (NVA III) with a Certificate of Secondary Education
Examination(CSEE)",3,80,"Local Fee: TSH. 1,200,000/="
,,"Holders of Basic Technician Certificate (NTA level 4) in Law OR
Advanced Certificate in Secondary Education Examination (ACSEE)
with at least one Principal pass and one Subsidiary pass in Principal
subjects",2,80,
Jordan University College (JUCo),"Ordinary Diploma in Library and Information
Studies","Holders of Certificate of Secondary Education Examination (CSEE)
with at least four (4) passes in non-religious subjects OR National
Vocational Award (NVA III) with a Certificate of Secondary Education
Examination(CSEE)",3,80,"Local Fee: TSH. 1,180,000/="
